date,value
2021-05-02,235.22
2021-05-03,233.22
2021-05-04,232.07
2021-05-05,231.96
2021-05-06,231.22
2021-05-07,230.58
2021-05-08,229.6
2021-05-09,230.9
2021-05-10,236.14
2021-05-11,242.91
2021-05-12,242.11
2021-05-13,245.78
2021-05-14,244.42
2021-05-15,241.29
2021-05-16,241.17
2021-05-17,240.12
2021-05-18,235.94
2021-05-19,232.44
2021-05-20,259.18
2021-05-21,231.22
2021-05-22,230.28
2021-05-23,234.35
2021-05-24,233.21
2021-05-25,232.37
2021-05-26,231.22
2021-05-27,232.39
2021-05-28,231.84
2021-05-29,235.65
2021-05-30,237.43
2021-05-31,235.4
2021-06-01,234.53
2021-06-02,239.34
2021-06-03,239.8
2021-06-04,237.73
2021-06-05,238.44
2021-06-06,238.54
2021-06-07,239.31
2021-06-08,238.97
2021-06-09,240.38
2021-06-10,246.94
2021-06-11,246.68
2021-06-12,244.25
2021-06-13,244.23
2021-06-14,245.32
2021-06-15,247.24
2021-06-16,247.45
2021-06-17,250.24
2021-06-18,254.28
2021-06-19,255.96
2021-06-20,266.13
2021-06-21,273.58
2021-06-22,271.67
2021-06-23,264.82
2021-06-24,270.83
2021-06-25,270.77
2021-06-26,276.51
2021-06-27,278.68
2021-06-28,281.71
2021-06-29,294.06
2021-06-30,285.3
2021-07-01,296.21
2021-07-02,306.33
2021-07-03,318.17
2021-07-04,334.17
2021-07-05,332.78
2021-07-06,327.47
2021-07-07,365.36
2021-07-08,417.9
2021-07-09,495.56
2021-07-10,447.56
2021-07-11,395.84
2021-07-12,390.59
2021-07-13,389.89
2021-07-14,385.28
2021-07-15,381.39
2021-07-16,340.58
2021-07-17,345.08
2021-07-18,340.91
2021-07-19,338.18
2021-07-20,334.66
2021-07-21,331.63
2021-07-22,338.35
2021-07-23,336.53
2021-07-24,335.33
2021-07-25,326.47
2021-07-26,328.16
2021-07-27,327.01
2021-07-28,325.12
2021-07-29,323.06
2021-07-30,329.13
2021-07-31,366.76
2021-08-01,363.59
2021-08-02,359.54
2021-08-03,371.94
2021-08-04,382.36
2021-08-05,378.93
2021-08-06,362.23
2021-08-07,370.27
2021-08-08,363.52
2021-08-09,389.79
2021-08-10,402.81
2021-08-11,399.97
2021-08-12,415.56
